,query,evalue
TM0006,b1325,3.7e-21
TM0012,b2285,1.0300000000000001e-27
TM0017,b1378,5.209999999999999e-40
TM0022,b4170,1.9299999999999997e-54
TM0038,b2765,4.1200000000000003e-22
TM0040,b3177,2.83e-78
TM0041,b0142,2.7099999999999998e-30
TM0042,b2385,1.9300000000000002e-77
TM0043,b0449,6.380000000000001e-88
TM0050,b3408,6.4e-11
TM0051,b3409,1.4400000000000001e-122
TM0064,b3092,3.59e-95
TM0065,b0272,1.52e-49
TM0066,b4477,6.22e-29
TM0068,b2172,5.4299999999999997e-39
TM0069,b4322,3.18e-87
TM0076,b2132,8.26e-137
TM0078,b4287,5.79e-50
TM0079,b4288,2.36e-40
TM0080,b0158,1.82e-18
TM0082,b1083,1.4e-22
TM0083,b1082,9.79e-25
TM0086,b1069,2.36e-41
TM0088,b3391,4.97e-29
TM0094,b3327,2.1399999999999999e-41
TM0096,b3260,1e-51
TM0097,b0639,8.03e-20
TM0098,b3183,6.43e-90
TM0100,b2411,5.19e-173
TM0108,b3189,2.83e-133
TM0110,b0676,3.5400000000000004e-35
TM0111,b3589,8.4e-51
TM0116,b3564,3.32e-107
TM0118,b2675,9.590000000000001e-32
TM0121,b4146,4.86e-38
TM0123,b1857,1.92e-18
TM0124,b1858,2.2699999999999997e-46
TM0125,b1859,2.92e-22
TM0133,b0595,3.78e-20
TM0137,b1260,7.630000000000001e-31
TM0138,b1261,7.550000000000001e-163
TM0140,b1262,4.44e-34
TM0141,b1263,1.14e-102
TM0142,b1264,5.43e-78
TM0145,b3064,7.91e-89
TM0146,b0438,6.1400000000000006e-179
TM0147,b0637,1.91e-13
TM0148,b3729,6.93e-177
TM0149,b1090,1.76e-56
TM0156,b0383,1.2999999999999998e-42
TM0157,b1462,9.71e-13
TM0158,b2828,6.3099999999999995e-28
TM0159,b2954,2.34e-24
TM0161,b0421,2.5e-30
TM0165,b1861,1.49e-29
TM0166,b2315,2.63e-50
TM0167,b4383,1.1999999999999999e-104
TM0168,b0642,0.0
TM0178,b3935,1.02e-80
TM0183,b0219,9.51e-13
TM0184,b3176,4.9099999999999995e-90
TM0188,b0195,6.71e-19
TM0190,b1711,8.940000000000001e-47
TM0193,b0491,1.83e-41
TM0198,b2592,0.0
TM0199,b4389,4.55e-103
TM0201,b2283,4.47e-22
TM0205,b3652,6.96e-141
TM0206,b0125,4.58e-34
TM0208,b1676,1e-122
TM0209,b3916,1.4899999999999998e-82
TM0211,b2905,3.5299999999999997e-81
TM0212,b2904,1.21e-43
TM0214,b2903,1.72e-84
TM0215,b3113,2.4399999999999998e-42
TM0216,b3560,3.7500000000000002e-124
TM0217,b3559,2.08e-101
TM0218,b1941,2.7e-135
TM0220,b1939,7e-63
TM0221,b1938,4.2699999999999995e-48
TM0224,b3973,5.45e-17
TM0225,b1919,6.38e-63
TM0226,b2966,3.04e-14
TM0228,b2284,1.24e-124
TM0231,b0091,1.34e-39
TM0232,b0090,2.2700000000000003e-31
TM0233,b0089,7.59e-36
TM0234,b0088,1.0099999999999999e-38
TM0235,b0087,1.4800000000000001e-58
TM0236,b0086,1.0999999999999999e-38
TM0237,b0085,1.5e-63
TM0240,b3430,6.2300000000000006e-105
TM0244,b1629,9.8e-100
TM0245,b1630,1.73e-62
TM0247,b1632,8.649999999999999e-52
TM0248,b1627,2.75e-76
TM0249,b1628,5.77e-20
TM0250,b4473,4.75e-50
TM0251,b2696,1.66e-18
TM0258,b1274,7.24e-129
TM0259,b0092,1.51e-68
TM0262,b3701,9.78e-47
TM0263,b3741,0.0
TM0264,b2183,1.2799999999999999e-52
TM0265,b1913,3.2899999999999996e-92
TM0266,b0440,1.87e-25
TM0267,b3706,5.36e-86
TM0268,b4019,8.69e-81
TM0272,b2416,1.11e-33
TM0273,b3137,3.0799999999999997e-69
TM0274,b2296,9.48e-124
TM0276,b0062,0.0
TM0282,b0756,5.330000000000001e-75
TM0283,b4198,1.35e-40
TM0286,b3071,7.05e-14
TM0288,b0914,2.42e-111
TM0290,b0333,4.5e-78
TM0293,b0243,6.95e-139
TM0294,b0242,4.3399999999999995e-82
TM0295,b0825,3.52e-38
TM0298,b4358,1.11e-33
TM0307,b2802,7.46e-18
TM0308,b3656,0.0
TM0313,b3001,1.39e-63
TM0317,b0484,2.04e-135
TM0322,b3579,2.0300000000000002e-29
TM0324,b3578,8.059999999999999e-67
TM0328,b3262,7.1e-29
TM0332,b1281,6.61e-13
TM0333,b0945,1.33e-12
TM0337,b4469,3.14e-150
TM0343,b1215,4.31e-25
TM0345,b0908,1.72e-41
TM0346,b3281,1.83e-22
TM0347,b2329,4.07e-46
TM0348,b3389,1.3099999999999999e-30
TM0352,b0879,8.810000000000001e-70
TM0353,b1644,1.26e-12
TM0356,b3117,1.12e-91
TM0358,b2086,5.09e-16
TM0362,b2159,1.2799999999999999e-52
TM0366,b1633,5.24e-41
TM0371,b3237,9.95e-16
TM0372,b2075,3.88e-77
TM0373,b0014,0.0
TM0376,b2327,4.16e-18
TM0381,b0116,6.910000000000001e-73
TM0397,b3212,6.54e-56
TM0399,b0571,2.21e-56
TM0401,b1238,6.56e-13
TM0402,b0451,3.55e-62
TM0403,b2553,1.9200000000000002e-29
TM0408,b1883,2.54e-78
TM0409,b2865,4.42e-26
TM0412,b3616,6.77e-36
TM0414,b1315,8.41e-23
TM0416,b1314,1.3e-22
TM0423,b3945,7.63e-125
TM0428,b3081,5.87e-15
TM0430,b1312,1.21e-35
TM0438,b2029,6.869999999999999e-159
TM0439,b1540,3.15e-11
TM0441,b4266,3.6800000000000004e-57
TM0444,b4139,2.87e-104
TM0446,b0523,1.18e-45
TM0447,b0522,3.81e-41
TM0453,b3982,2.72e-32
TM0454,b3983,6.33e-59
TM0455,b3984,1.34e-74
TM0456,b3985,2.78e-17
TM0457,b3986,2.23e-31
TM0458,b3987,1.48e-178
TM0459,b3988,0.0
TM0461,b0184,5.99e-77
TM0462,b2594,3.0199999999999997e-61
TM0464,b1884,8.480000000000001e-32
TM0466,b1864,2.05e-78
TM0475,b1768,5.1300000000000004e-21
TM0478,b1637,6.94e-38
TM0480,b4058,0.0
TM0482,b4334,4.65e-20
TM0483,b0366,1.22e-51
TM0485,b0367,2.1399999999999997e-23
TM0488,b1212,3.6699999999999995e-24
TM0490,b1120,4e-26
TM0492,b3384,1.8699999999999998e-52
TM0496,b0215,4.04e-20
TM0501,b3541,7.130000000000001e-124
TM0506,b4143,0.0
TM0508,b0892,3.2e-92
TM0509,b2041,2.7700000000000003e-43
TM0510,b0817,4.82e-12
TM0513,b3765,5.98e-115
TM0514,b0194,1.1500000000000001e-179
TM0515,b3211,1.22e-64
TM0519,b1832,4.28e-21
TM0520,b1133,6.99e-60
TM0521,b3932,7.95e-79
TM0522,b3931,2.9500000000000003e-173
TM0525,b4171,5.26e-63
TM0526,b4172,1.98e-18
TM0527,b4173,2.85e-93
TM0528,b3288,1.0100000000000001e-72
TM0538,b0752,5.18e-49
TM0540,b3061,1.83e-36
TM0541,b4122,3.52e-37
TM0542,b2463,6.2e-100
TM0545,b0003,5.77e-26
TM0547,b0002,1.02e-37
TM0548,b0077,7.15e-172
TM0549,b0078,8.520000000000001e-33
TM0550,b3774,3.4e-46
TM0551,b3771,4.63e-159
TM0553,b0074,5.43e-152
TM0554,b0072,5.1e-70
TM0555,b0071,2.44e-16
TM0556,b0073,7.600000000000001e-144
TM0557,b0033,0.0
TM0558,b0032,5.55e-110
TM0561,b3816,4.46e-19
TM0565,b0146,2.3e-16
TM0570,b3464,8.33e-101
TM0571,b3234,3.889999999999999e-68
TM0572,b2253,1.55e-59
TM0573,b0657,1.14e-18
TM0574,b0405,2.33e-104
TM0575,b1863,4.29e-30
TM0577,b3441,2.36e-14
TM0578,b0386,1.0800000000000001e-29
