Modified_enzyme,Core_enzyme,Modifications,Source
RNAP-CPLX_mod_zn2(1)_mod_mg2(2),RNAP-CPLX,zn2(1) AND mg2(2),RNA_Polymerase
S0003-MONOMER_mod_k(1)_mod_mg2(1),S0003-MONOMER,k(1) AND mg2(1),Homology
S0015-MONOMER_mod_zn2(4),S0015-MONOMER,zn2(4),Homology
S0025-MONOMER_mod_zn2(2),S0025-MONOMER,zn2(2),Homology
S0028-MONOMER_mod_nadph(1)_mod_nadh(1)_mod_fad(1)_mod_cobalt2(1),S0028-MONOMER,nadph(1) AND nadh(1) AND fad(1) AND cobalt2(1),Homology
S0058-MONOMER_mod_zn2(1),S0058-MONOMER,zn2(1),Homology
S0059-MONOMER_mod_mn2(1),S0059-MONOMER,mn2(1),Homology
S0070-MONOMER_mod_mg2(1)_mod_mn2(1),S0070-MONOMER,mg2(1) AND mn2(1),Homology
S0087-MONOMER_mod_k(1)_mod_mg2(1),S0087-MONOMER,k(1) AND mg2(1),Homology
S0090-MONOMER_mod_mg2(1),S0090-MONOMER,mg2(1),Homology
S0108-MONOMER_mod_mg2(1),S0108-MONOMER,mg2(1),Homology
S0132-MONOMER_mod_mg2(1)_mod_k(1),S0132-MONOMER,mg2(1) AND k(1),Homology
S0132-MONOMER_mod_mg2(1)_mod_nh4(1),S0132-MONOMER,mg2(1) AND nh4(1),Homology
S0132-MONOMER_mod_mn2(1)_mod_k(1),S0132-MONOMER,mn2(1) AND k(1),Homology
S0132-MONOMER_mod_mn2(1)_mod_nh4(1),S0132-MONOMER,mn2(1) AND nh4(1),Homology
S0133-MONOMER_mod_mg2(1),S0133-MONOMER,mg2(1),Homology
S0137-MONOMER_mod_mg2(1),S0137-MONOMER,mg2(1),Homology
S0149-MONOMER_mod_pydx5p(1),S0149-MONOMER,pydx5p(1),Homology
S0151-MONOMER_mod_pydx5p(1),S0151-MONOMER,pydx5p(1),Homology
S0151-MONOMER_mod_pydx5p(1)_mod_SH(1),S0151-MONOMER,pydx5p(1) AND SH(1),Homology
S0151-MONOMER_mod_2fe2s(1),S0151-MONOMER,2fe2s(1),Homology
S0151-MONOMER_mod_4fe4s(1),S0151-MONOMER,4fe4s(1),Homology
S0161-MONOMER_mod_fe2(2),S0161-MONOMER,fe2(2),Homology
S0166-MONOMER_mod_mn2(1),S0166-MONOMER,mn2(1),Homology
S0166-MONOMER_mod_cobalt2(1),S0166-MONOMER,cobalt2(1),Homology
S0166-MONOMER_mod_mg2(1),S0166-MONOMER,mg2(1),Homology
S0167-MONOMER_mod_mg2(1),S0167-MONOMER,mg2(1),Homology
S0168-MONOMER_mod_mg2(1)_mod_k(1),S0168-MONOMER,mg2(1) AND k(1),Homology
S0179-MONOMER_mod_pydx5p(1),S0179-MONOMER,pydx5p(1),Homology
S0252-MONOMER_mod_zn2(1)_mod_mg2(1),S0252-MONOMER,zn2(1) AND mg2(1),Homology
S0270-MONOMER_mod_zn2(1),S0270-MONOMER,zn2(1),Homology
S0313-MONOMER_mod_mg2(1),S0313-MONOMER,mg2(1),Homology
S0351-MONOMER_mod_zn2(6),S0351-MONOMER,zn2(6),Homology
S0362-MONOMER_mod_mg2(1),S0362-MONOMER,mg2(1),Homology
S0365-MONOMER_mod_thmpp(1),S0365-MONOMER,thmpp(1),Homology
S0366-MONOMER_mod_mg2(1),S0366-MONOMER,mg2(1),Homology
S0366-MONOMER_mod_mn2(1),S0366-MONOMER,mn2(1),Homology
S0374-MONOMER_mod_mg2(1),S0374-MONOMER,mg2(1),Homology
S0374-MONOMER_mod_ca2(1),S0374-MONOMER,ca2(1),Homology
S0421-MONOMER_mod_mg2(1),S0421-MONOMER,mg2(1),Homology
S0421-MONOMER_mod_mn2(1),S0421-MONOMER,mn2(1),Homology
S0426-MONOMER_mod_mg2(1),S0426-MONOMER,mg2(1),Homology
S0458-MONOMER_mod_mn2(1),S0458-MONOMER,mn2(1),Homology
S0458-MONOMER_mod_2fe2s(1)_mod_mn2(1),S0458-MONOMER,2fe2s(1) AND mn2(1),Homology
S0458-MONOMER_mod_4fe4s(1)_mod_mn2(1),S0458-MONOMER,4fe4s(1) AND mn2(1),Homology
S0465-MONOMER_mod_zn2(1),S0465-MONOMER,zn2(1),Homology
S0493-MONOMER_mod_fad(1),S0493-MONOMER,fad(1),Homology
S0553-MONOMER_mod_nad(1),S0553-MONOMER,nad(1),Homology
S0555-MONOMER_mod_mg2(1),S0555-MONOMER,mg2(1),Homology
S0562-MONOMER_mod_4fe4s(1),S0562-MONOMER,4fe4s(1),Homology
S0616-MONOMER_mod_mg2(1),S0616-MONOMER,mg2(1),Homology
S0620-MONOMER_mod_Oxidized(1),S0620-MONOMER,Oxidized(1),Homology
S0627-MONOMER_mod_zn2(1),S0627-MONOMER,zn2(1),Homology
S0630-MONOMER_mod_mg2(1),S0630-MONOMER,mg2(1),Homology
S0643-MONOMER_mod_4fe4s(1),S0643-MONOMER,4fe4s(1),Homology
S0664-MONOMER_mod_mg2(1),S0664-MONOMER,mg2(1),Homology
S0675-MONOMER_mod_4fe4s(2),S0675-MONOMER,4fe4s(2),Homology
S0765-MONOMER_mod_pydx5p(1),S0765-MONOMER,pydx5p(1),Homology
S0766-MONOMER_mod_4fe4s(1)_mod_2fe2s(1),S0766-MONOMER,4fe4s(1) AND 2fe2s(1),Homology
S0769-MONOMER_mod_mg2(1),S0769-MONOMER,mg2(1),Homology
S0775-MONOMER_mod_amp(1),S0775-MONOMER,amp(1),Homology
S0775-MONOMER_mod_coo(1),S0775-MONOMER,coo(1),Homology
S0775-MONOMER_mod_cosh(1),S0775-MONOMER,cosh(1),Homology
S0867-MONOMER_mod_mg2(1)_mod_thmpp(1)_mod_fad(1),S0867-MONOMER,mg2(1) AND thmpp(1) AND fad(1),Homology
S0893-MONOMER_mod_mg2(1),S0893-MONOMER,mg2(1),Homology
S0966-MONOMER_mod_pydx5p(1),S0966-MONOMER,pydx5p(1),Homology
S0970-MONOMER_mod_mg2(1),S0970-MONOMER,mg2(1),Homology
S0974-MONOMER_mod_mg2(1),S0974-MONOMER,mg2(1),Homology
S1178-MONOMER_mod_pan4p(1),S1178-MONOMER,pan4p(1),Homology
S1178-MONOMER_mod_pan4p(1)_mod_ac(1),S1178-MONOMER,pan4p(1) AND ac(1),Homology
S1178-MONOMER_mod_pan4p(1)_mod_mal(1),S1178-MONOMER,pan4p(1) AND mal(1),Homology
S1178-MONOMER_mod_pan4p(1)_mod_but2e(1),S1178-MONOMER,pan4p(1) AND but2e(1),Homology
S1178-MONOMER_mod_pan4p(1)_mod_act(1),S1178-MONOMER,pan4p(1) AND act(1),Homology
S1178-MONOMER_mod_pan4p(1)_mod_but(1),S1178-MONOMER,pan4p(1) AND but(1),Homology
S1178-MONOMER_mod_pan4p(1)_mod_3ha(1),S1178-MONOMER,pan4p(1) AND 3ha(1),Homology
S1178-MONOMER_mod_pan4p(1)_mod_egme(1),S1178-MONOMER,pan4p(1) AND egme(1),Homology
S1178-MONOMER_mod_pan4p(1)_mod_ogme(1),S1178-MONOMER,pan4p(1) AND ogme(1),Homology
S1178-MONOMER_mod_pan4p(1)_mod_gme(1),S1178-MONOMER,pan4p(1) AND gme(1),Homology
S1178-MONOMER_mod_pan4p(1)_mod_hgme(1),S1178-MONOMER,pan4p(1) AND hgme(1),Homology
S1178-MONOMER_mod_pan4p(1)_mod_thex2e(1),S1178-MONOMER,pan4p(1) AND thex2e(1),Homology
S1178-MONOMER_mod_pan4p(1)_mod_3ohex(1),S1178-MONOMER,pan4p(1) AND 3ohex(1),Homology
S1178-MONOMER_mod_pan4p(1)_mod_hex(1),S1178-MONOMER,pan4p(1) AND hex(1),Homology
S1178-MONOMER_mod_pan4p(1)_mod_3hhex(1),S1178-MONOMER,pan4p(1) AND 3hhex(1),Homology
