Modified_enzyme,Core_enzyme,Modifications,Source
CPLX1SOZ-9_mod_zn2(1)_mod_mg2(2),CPLX1SOZ-9,zn2(1) AND mg2(2),RNA_Polymerase
ABAYE_RS09850-MONOMER_mod_mg2(1),ABAYE_RS09850-MONOMER,mg2(1),Homology
ABAYE_RS09850-MONOMER_mod_mn2(1),ABAYE_RS09850-MONOMER,mn2(1),Homology
ABAYE_RS09850-MONOMER_mod_cobalt2(1),ABAYE_RS09850-MONOMER,cobalt2(1),Homology
ABAYE_RS01785-MONOMER_mod_mg2(1),ABAYE_RS01785-MONOMER,mg2(1),Homology
ABAYE_RS01785-MONOMER_mod_mn2(1),ABAYE_RS01785-MONOMER,mn2(1),Homology
ABAYE_RS10340-MONOMER_mod_2fe2s(1),ABAYE_RS10340-MONOMER,2fe2s(1),Homology
ABAYE_RS10340-MONOMER_mod_4fe4s(1),ABAYE_RS10340-MONOMER,4fe4s(1),Homology
ABAYE_RS10340-MONOMER_mod_fe2(1),ABAYE_RS10340-MONOMER,fe2(1),Homology
ABAYE_RS10340-MONOMER_mod_fe2(2),ABAYE_RS10340-MONOMER,fe2(2),Homology
ABAYE_RS01020-MONOMER_mod_mg2(1),ABAYE_RS01020-MONOMER,mg2(1),Homology
ABAYE_RS13005-MONOMER_mod_zn2(4),ABAYE_RS13005-MONOMER,zn2(4),Homology
ABAYE_RS00995-MONOMER_mod_mg2(1),ABAYE_RS00995-MONOMER,mg2(1),Homology
ABAYE_RS06175-MONOMER_mod_4fe4s(2),ABAYE_RS06175-MONOMER,4fe4s(2),Homology
ABAYE_RS14710-MONOMER_mod_mg2(1),ABAYE_RS14710-MONOMER,mg2(1),Homology
ABAYE_RS14710-MONOMER_mod_mn2(1),ABAYE_RS14710-MONOMER,mn2(1),Homology
ABAYE_RS03565-MONOMER_mod_mg2(1),ABAYE_RS03565-MONOMER,mg2(1),Homology
ABAYE_RS02095-MONOMER_mod_nadph(1)_mod_nadh(1)_mod_fad(1)_mod_cobalt2(1),ABAYE_RS02095-MONOMER,nadph(1) AND nadh(1) AND fad(1) AND cobalt2(1),Homology
ABAYE_RS04335-MONOMER_mod_mg2(1),ABAYE_RS04335-MONOMER,mg2(1),Homology
CPLX1SOZ-12_mod_mg2(1),CPLX1SOZ-12,mg2(1),Homology
ABAYE_RS05425-MONOMER_mod_mn2(1),ABAYE_RS05425-MONOMER,mn2(1),Homology
ABAYE_RS05425-MONOMER_mod_mg2(1),ABAYE_RS05425-MONOMER,mg2(1),Homology
ABAYE_RS07250-MONOMER_mod_mg2(1),ABAYE_RS07250-MONOMER,mg2(1),Homology
ABAYE_RS07630-MONOMER_mod_mg2(2),ABAYE_RS07630-MONOMER,mg2(2),Homology
ABAYE_RS16255-MONOMER_mod_4fe4s(1),ABAYE_RS16255-MONOMER,4fe4s(1),Homology
ABAYE_RS14960-MONOMER_mod_mg2(1),ABAYE_RS14960-MONOMER,mg2(1),Homology
ABAYE_RS04565-MONOMER_mod_mg2(1),ABAYE_RS04565-MONOMER,mg2(1),Homology
ABAYE_RS10375-MONOMER_mod_mg2(1),ABAYE_RS10375-MONOMER,mg2(1),Homology
ABAYE_RS15590-MONOMER_mod_pydx5p(1),ABAYE_RS15590-MONOMER,pydx5p(1),Homology
ABAYE_RS08670-MONOMER_mod_mg2(4),ABAYE_RS08670-MONOMER,mg2(4),Homology
ABAYE_RS17535-MONOMER_mod_k(1)_mod_mg2(1),ABAYE_RS17535-MONOMER,k(1) AND mg2(1),Homology
ABAYE_RS10615-MONOMER_mod_mg2(1),ABAYE_RS10615-MONOMER,mg2(1),Homology
ABAYE_RS07365-MONOMER_mod_mg2(1),ABAYE_RS07365-MONOMER,mg2(1),Homology
ABAYE_RS06115-MONOMER_mod_mn2(1),ABAYE_RS06115-MONOMER,mn2(1),Homology
ABAYE_RS08190-MONOMER_mod_mn2(1),ABAYE_RS08190-MONOMER,mn2(1),Homology
ABAYE_RS10080-MONOMER_mod_pydx5p(1),ABAYE_RS10080-MONOMER,pydx5p(1),Homology
ABAYE_RS02420-MONOMER_mod_thmpp(1),ABAYE_RS02420-MONOMER,thmpp(1),Homology
ABAYE_RS18980-MONOMER_mod_mg2(1),ABAYE_RS18980-MONOMER,mg2(1),Homology
ABAYE_RS07645-MONOMER_mod_fad(1),ABAYE_RS07645-MONOMER,fad(1),Homology
