generic_component	enzymes
generic_16Sm4Cm1402	EG11085-MONOMER
generic_16s_rRNAs	RNA_b0201,RNA_b2591,RNA_b3278,RNA_b3756,RNA_b3851,RNA_b3968,RNA_b4007
generic_23s_rRNAs	RNA_b0204,RNA_b2589,RNA_b3275,RNA_b3758,RNA_b3854,RNA_b3970,RNA_b4009
generic_5s_rRNAs	RNA_b0205,RNA_b2588,RNA_b3272,RNA_b3274,RNA_b3759,RNA_b3855,RNA_b3971,RNA_b4010
generic_Dus	EG11311-MONOMER
generic_LYSINEaaRS	LYSU-MONOMER
generic_RF	PrfA_mono,PrfB_mono
generic_RNase	EG10863-MONOMER
generic_Tuf	EG11037-MONOMER
generic_cys_ligase	CysS_mono,Ser_RS_dim
generic_fes_transfers_complex	EG12332-MONOMER
generic_glu_ligase	GlnS_mono,GltX_mono
generic_lys_ligase	LysII_RS_dim,LysI_RS_dim
