,query,evalue
HP0001,b0416,3.03e-14
HP0002,b0415,7.49e-51
HP0003,b1215,2.2200000000000002e-66
HP0004,b0339,4.31e-37
HP0005,b1281,5.7e-34
HP0006,b0133,1.59e-57
HP0010,b4143,0.0
HP0012,b3066,5.24e-75
HP0022,b4114,1.06e-60
HP0026,b0720,8.310000000000001e-123
HP0027,b1136,0.0
HP0029,b0778,1.24e-13
HP0032,b0881,2.87e-15
HP0033,b0882,0.0
HP0034,b0131,1.1499999999999999e-24
HP0043,b2049,7.15e-113
HP0044,b2053,2.36e-166
HP0045,b2052,1.09e-70
HP0047,b2730,2.7600000000000004e-79
HP0048,b2712,2.97e-89
HP0055,b1015,1.3e-165
HP0056,b1014,8.81e-62
HP0075,b3176,2.11e-105
HP0077,b1211,1.92e-134
HP0083,b3230,4.96e-40
HP0084,b3231,2.37e-47
HP0086,b2210,4.48e-18
HP0088,b3067,3.18e-97
HP0089,b0159,2.99e-31
HP0090,b1092,8.670000000000001e-43
HP0098,b0004,2.84e-38
HP0099,b4355,1.69e-20
HP0102,b2055,1.85e-14
HP0104,b4213,2.39e-58
HP0105,b2687,1.8899999999999998e-34
HP0106,b3939,1.62e-102
HP0107,b2421,1.61e-55
HP0109,b0014,0.0
HP0110,b2614,3.18e-26
HP0116,b1274,3.4199999999999997e-149
HP0121,b1702,0.0
HP0123,b1719,6.749999999999999e-170
HP0124,b1718,5.03e-33
HP0126,b1716,5.06e-31
HP0132,b1814,8.27e-140
HP0133,b2796,6.69e-108
HP0136,b2480,7.92e-31
HP0138,b0307,3.7e-123
HP0139,b0306,2.5e-49
HP0140,b3603,0.0
HP0142,b2961,2.6199999999999998e-52
HP0143,b0612,1.13e-75
HP0153,b2699,4.3e-155
HP0154,b2779,3.54e-151
HP0157,b3390,2.45e-19
HP0162,b1864,2.5099999999999998e-30
HP0163,b0369,2.42e-108
HP0166,b0571,2.46e-43
HP0169,b2081,1.14e-73
HP0171,b2891,5.11e-121
HP0172,b0827,5.18e-62
HP0173,b1950,1.39e-11
HP0175,b3775,5.74e-13
HP0176,b3137,3.65e-69
HP0177,b4147,1.76e-55
HP0179,b0495,4.24e-39
HP0182,b2890,5.59e-168
HP0183,b2551,3.27e-151
HP0189,b3002,3.25e-32
HP0190,b1046,2.15e-66
HP0191,b4153,1.0800000000000001e-31
HP0192,b0723,1.16e-95
HP0194,b3919,1.0599999999999999e-34
HP0195,b1288,3.7400000000000005e-80
HP0196,b0179,4.55e-42
HP0197,b2942,1.2899999999999999e-170
HP0198,b2518,1.6699999999999999e-52
HP0201,b1090,1.77e-65
HP0202,b1091,3.8599999999999996e-89
HP0207,b2113,3.81e-78
HP0210,b0473,0.0
HP0212,b2472,2.08e-72
HP0213,b3741,0.0
HP0215,b0175,1.8899999999999997e-23
HP0216,b0173,2.33e-55
HP0220,b2530,1.77e-97
HP0221,b2529,2.16e-17
HP0223,b4389,3.49e-113
HP0224,b1778,8.01e-37
HP0228,b1206,1.43e-28
HP0230,b0918,1.07e-43
HP0233,b3038,1.6e-36
HP0237,b3805,1.0499999999999999e-82
HP0238,b0194,1.42e-136
HP0239,b1210,5.64e-46
HP0240,b3187,1.76e-37
HP0244,b2219,1.27e-18
HP0246,b1080,3.56e-68
HP0247,b3162,1.17e-100
HP0250,b2180,1.2200000000000001e-133
HP0251,b2179,1.2800000000000001e-124
HP0255,b4177,5.05e-117
HP0258,b0176,5.1e-25
HP0259,b2509,5.180000000000001e-66
HP0264,b2592,0.0
HP0266,b0512,4.87e-12
HP0269,b0661,1.62e-87
HP0277,b2562,5.1900000000000005e-21
HP0278,b3779,2.2399999999999998e-23
HP0279,b3621,2.8099999999999998e-34
HP0280,b2378,2.46e-12
HP0281,b0406,4.04e-120
HP0283,b3389,2.02e-69
HP0290,b2838,3.2999999999999996e-52
HP0293,b1812,1.1599999999999999e-54
HP0296,b3186,5.35e-25
HP0297,b3185,8.38e-32
HP0298,b3544,5.41e-124
HP0299,b3543,4.42e-116
HP0300,b3542,1.47e-91
HP0301,b3541,3.67e-94
HP0302,b3540,3.77e-107
HP0303,b3183,1.98e-74
HP0306,b0154,8.140000000000001e-155
HP0309,b0219,1.94e-15
HP0312,b4352,4.6699999999999995e-28
HP0319,b1876,2.71e-20
HP0321,b3648,3.35e-44
HP0325,b1079,3.18e-16
HP0329,b1740,2.06e-15
HP0330,b3774,1.36e-41
HP0331,b1175,3.41e-91
HP0333,b4473,2.55e-18
HP0347,b2791,6e-19
HP0348,b2892,5.98e-66
HP0349,b2780,0.0
HP0351,b1938,2.4e-75
HP0352,b1939,2.14e-50
HP0354,b0420,1.15e-149
HP0355,b2569,0.0
HP0357,b1539,4.8e-93
HP0360,b0759,2.29e-55
HP0361,b2318,1.59e-17
HP0363,b2743,6.669999999999999e-45
HP0364,b2235,1.53e-30
HP0366,b2253,1.08e-52
HP0370,b3256,3.3e-151
HP0371,b3255,2.67e-18
HP0376,b0475,2.5300000000000003e-22
HP0380,b1761,1.3e-179
HP0381,b1212,5.97e-29
HP0387,b3935,9.32e-88
HP0388,b1870,7.83e-40
HP0389,b1656,1.93e-71
HP0390,b1324,1.9400000000000002e-33
HP0391,b1887,7.11e-21
HP0392,b1888,3.32e-111
HP0395,b2951,1.0800000000000001e-29
HP0396,b3843,6.42e-83
HP0397,b2913,3.88e-44
HP0399,b0911,1.08e-75
HP0400,b0029,1.09e-38
HP0401,b0908,4.04e-28
HP0402,b1713,2.88e-59
HP0403,b1714,2.1099999999999997e-95
HP0404,b1103,7.5e-19
HP0407,b1872,3.899999999999999e-180
HP0409,b2507,2.02e-178
HP0415,b1330,8.29e-53
HP0416,b1661,5.79e-64
HP0417,b2114,1.6000000000000002e-66
HP0419,b1871,6.1299999999999996e-68
HP0422,b2938,1.2500000000000001e-105
HP0471,b0047,1.06e-38
HP0473,b0763,3.98e-19
HP0474,b2424,4.9899999999999996e-23
HP0476,b2400,4.29e-125
HP0480,b3871,0.0
HP0493,b0087,1.33e-91
HP0494,b0088,1.91e-33
HP0496,b0736,1.13e-20
HP0499,b3821,5.41e-22
HP0500,b3701,4.29e-18
HP0501,b3699,0.0
HP0507,b2467,7.26e-13
HP0509,b2979,7.12e-92
HP0510,b0031,5.79e-34
HP0512,b3870,1.02e-158
HP0514,b4203,1.16e-15
HP0515,b3932,1.98e-54
HP0516,b3931,1.37e-145
HP0517,b2566,6.55e-59
HP0549,b3967,2.26e-14
HP0550,b3783,4.14e-173
HP0551,b3936,1.88e-13
HP0552,b3146,7.39e-39
HP0553,b4180,1.53e-16
HP0557,b0185,1.98e-100
HP0558,b1095,7.33e-123
HP0559,b1094,1.0100000000000002e-21
HP0561,b1093,2.23e-66
HP0565,b0301,3.64e-39
HP0566,b3809,2.69e-20
HP0569,b1203,9.389999999999999e-134
HP0570,b4260,1.32e-66
HP0571,b2136,9.500000000000001e-21
HP0572,b0469,1.17e-53
HP0574,b4090,6.57e-30
HP0576,b2568,2.95e-25
HP0577,b0529,1.27e-92
HP0581,b1062,6.949999999999999e-52
HP0585,b1633,5.34e-44
HP0587,b1097,5.61e-19
HP0597,b0149,1.1499999999999999e-69
HP0598,b0776,1.37e-34
HP0601,b1923,2.88e-15
HP0604,b3997,5.08e-101
HP0607,b2076,2.57e-134
HP0615,b2411,4.55e-145
HP0617,b1866,0.0
HP0618,b0474,1.21e-12
HP0620,b4226,1e-49
HP0621,b2733,2.27e-11
HP0623,b0091,2.4199999999999997e-40
HP0625,b2515,9.619999999999999e-108
HP0630,b3028,1.47e-83
HP0631,b0972,2.3399999999999998e-94
HP0632,b0973,2.48e-152
HP0633,b0974,1.73e-15
HP0634,b2993,9.09e-17
HP0639,b0444,7.78e-53
HP0640,b0143,2.92e-25
HP0645,b4392,7.14e-14
HP0646,b1236,1.1199999999999999e-67
HP0648,b3189,2.43e-128
HP0649,b4139,0.0
HP0652,b4388,2.08e-33
HP0653,b1905,1.6100000000000002e-47
HP0655,b0177,1.0700000000000001e-29
HP0661,b0214,2.37e-49
HP0662,b2567,1.59e-39
HP0663,b2329,3.56e-97
HP0665,b3867,1.57e-131
HP0666,b2243,1.35e-22
HP0672,b0600,4.82e-47
HP0675,b2894,5.46e-24
HP0676,b1335,4.5e-31
HP0679,b1315,2.87e-11
HP0680,b2234,4.87e-86
HP0683,b3730,8.51e-101
HP0687,b3409,1.4e-81
HP0690,b2844,8.89e-133
HP0691,b2221,2.22e-64
HP0692,b2222,6.89e-76
HP0693,b2223,8.050000000000001e-133
HP0700,b4042,9.77e-28
HP0701,b2231,0.0
HP0703,b2220,7.56e-83
HP0705,b4058,0.0
HP0707,b0082,2.06e-50
HP0714,b3202,3.74e-40
HP0715,b3201,5.46e-91
HP0717,b0470,1.64e-75
HP0718,b2923,3.98e-19
HP0723,b2957,4.69e-105
HP0724,b4138,2.6199999999999997e-140
HP0727,b3260,1.32e-43
HP0728,b0188,2.26e-13
HP0734,b0835,3.13e-60
HP0737,b0418,1.62e-18
HP0738,b0381,1.64e-27
HP0742,b1207,5.590000000000001e-122
HP0743,b0634,4.14e-49
HP0745,b2594,7.499999999999999e-30
HP0747,b2960,2.41e-19
HP0755,b2812,1.51e-18
HP0759,b1985,9.790000000000001e-21
HP0763,b3464,2.01e-63
HP0768,b0781,1.99e-51
HP0770,b1880,3.07e-56
HP0772,b2817,1.4399999999999997e-23
HP0774,b1637,3.28e-32
HP0775,b3650,8.16e-101
HP0777,b0171,1.16e-77
HP0779,b0118,0.0
HP0786,b0098,0.0
HP0787,b1116,7.200000000000001e-27
HP0791,b3469,2.8000000000000002e-117
HP0792,b3765,5.18e-94
HP0793,b3287,1.07e-37
HP0794,b0437,3.11e-102
HP0795,b0436,3.07e-42
HP0798,b0783,7.58e-41
HP0799,b0009,1.7499999999999998e-61
HP0802,b1277,2.46e-56
HP0804,b3041,4.42e-59
HP0807,b4291,1.1899999999999999e-45
HP0808,b2563,2.62e-11
HP0810,b3465,1.5400000000000001e-22
HP0813,b0927,2.82e-19
HP0814,b0826,1.02e-39
HP0815,b1890,1.07e-11
HP0818,b2131,6.88e-30
HP0819,b0066,4.7e-41
HP0821,b1913,1.05e-76
HP0824,b3781,2.1400000000000002e-33
HP0825,b0888,1.8900000000000001e-63
HP0828,b3738,7.12e-14
HP0829,b2508,4.51e-168
HP0831,b0103,1.2199999999999999e-24
HP0834,b2511,9.43e-68
HP0835,b0440,7.08e-14
HP0841,b3639,1.32e-41
HP0843,b3993,4.97e-18
HP0844,b2103,7.189999999999999e-60
HP0845,b2104,2.15e-44
HP0853,b0820,2.4599999999999998e-158
HP0854,b0104,1.87e-41
HP0857,b3149,2.15e-51
HP0858,b3052,4.94e-106
HP0859,b3619,2.28e-36
HP0860,b0200,2e-41
HP0865,b3640,1.74e-22
HP0866,b3181,1.49e-49
HP0867,b0182,1.38e-35
HP0870,b1076,3.03e-37
HP0872,b4108,1.28e-41
HP0875,b1732,2.1099999999999999e-128
HP0877,b1863,9.56e-19
HP0883,b1861,3.6e-28
HP0885,b1069,3.97e-52
HP0886,b0526,6.74e-112
HP0888,b0151,4.2799999999999995e-34
HP0889,b4288,2.62e-35
HP0890,b0493,2.01e-39
HP0892,b0225,2.89e-14
HP0898,b2729,1.05e-118
HP0899,b2728,1.35e-13
HP0900,b2727,3.22e-49
HP0903,b2296,2.81e-76
HP0919,b0033,0.0
HP0920,b0970,1.8700000000000002e-21
HP0925,b0472,1.11e-37
HP0926,b2745,2.59e-33
HP0927,b1829,1.0600000000000002e-27
HP0928,b2153,3.9400000000000003e-29
HP0929,b0421,3.89e-39
HP0930,b2744,1.04e-50
HP0939,b1918,1.81e-53
HP0940,b1920,2.9300000000000004e-35
HP0941,b4053,7.29e-49
HP0942,b0007,8.12e-67
HP0943,b1189,2.02e-36
HP0944,b4243,4.23e-37
HP0950,b2316,1.75e-86
HP0952,b2700,1.36e-29
HP0954,b0578,5.67e-18
HP0955,b2828,6.450000000000001e-43
HP0957,b3633,3.82e-41
HP0960,b3560,6.38e-125
HP0961,b3608,6.4799999999999995e-46
HP0972,b3559,3.72e-89
HP0974,b3612,9.73e-139
HP0976,b0774,3.9299999999999997e-81
HP0977,b0441,2.61e-15
HP0978,b0094,5.7e-49
HP0979,b0095,2.18e-58
HP0983,b2924,1.64e-50
HP1010,b2501,5.99e-112
HP1011,b0945,5.03e-77
HP1012,b1494,3.2800000000000003e-21
HP1013,b2478,1.13e-65
HP1014,b1619,9.4e-33
HP1016,b1912,3.41e-22
HP1017,b0260,2.39e-132
HP1020,b2746,1.24e-34
HP1024,b1000,6.0899999999999995e-46
HP1026,b0892,1.72e-64
HP1027,b0683,5.909999999999999e-23
HP1030,b1946,1.18e-17
HP1031,b1945,1.9600000000000002e-26
HP1032,b1922,2.1200000000000001e-32
HP1036,b0142,1.29e-16
HP1037,b2385,1.93e-50
HP1040,b3165,1.06e-26
HP1041,b1879,2.4200000000000004e-179
HP1045,b4069,0.0
HP1046,b3170,3.81e-15
HP1048,b3168,1.1900000000000001e-169
HP1050,b0003,5.92e-19
HP1052,b0096,2.4e-83
HP1058,b0134,1.3e-65
HP1059,b1860,1.28e-119
HP1061,b3839,3.57e-47
HP1062,b0405,3.2199999999999997e-69
HP1063,b3740,4.2899999999999994e-23
HP1067,b1882,1.09e-38
HP1068,b3259,1.19e-23
HP1069,b3178,5.5500000000000006e-160
HP1072,b0484,8.3e-119
HP1082,b0914,9.89e-95
HP1084,b4245,3.4500000000000004e-37
HP1087,b0025,1.31e-25
HP1088,b2465,4.61e-165
HP1090,b0890,6.17e-131
HP1091,b2587,1.8700000000000002e-116
HP1095,b1432,9.92e-47
HP1099,b1850,4.1599999999999995e-68
HP1100,b1851,0.0
HP1101,b1852,3.85e-78
HP1103,b2388,1.6e-76
HP1104,b0325,2.7299999999999998e-81
HP1110,b1378,2.3199999999999998e-42
HP1112,b1131,3.58e-18
HP1114,b0779,0.0
HP1117,b0644,1.03e-23
HP1118,b3447,0.0
HP1119,b1082,1.02e-22
HP1121,b1961,8.46e-28
HP1123,b3349,2.19e-22
HP1125,b0741,3.08e-17
HP1129,b3005,1.26e-17
HP1130,b3006,2.65e-16
HP1132,b3732,0.0
HP1133,b3733,1.25e-53
HP1134,b3734,0.0
HP1140,b3973,9.07e-12
HP1141,b3288,1.64e-53
HP1147,b2606,2.09e-32
HP1148,b2607,2.69e-39
HP1151,b2609,8.34e-22
HP1152,b2610,1.56e-103
HP1153,b4258,0.0
HP1155,b0090,7.43e-31
HP1158,b0386,1.69e-16
HP1159,b3361,7.81e-12
HP1160,b0659,1.82e-11
HP1161,b0684,4.52e-45
HP1166,b4025,0.0
HP1168,b0598,0.0
HP1171,b3271,5.03e-82
HP1172,b0860,6.94e-19
HP1174,b2801,1.3699999999999998e-69
HP1175,b3664,6.92e-93
HP1178,b4384,7.91e-97
HP1179,b4383,3.93e-168
HP1180,b2161,8.06e-108
HP1181,b0427,2.5e-43
HP1182,b1344,9.309999999999999e-45
HP1185,b1528,5.15e-116
HP1189,b2319,1.41e-34
HP1190,b2514,9.4e-30
HP1191,b3620,4.94e-34
HP1193,b0419,1.72e-37
HP1195,b3340,0.0
HP1196,b3341,1.5600000000000002e-66
HP1197,b3342,8.66e-64
HP1198,b3987,0.0
HP1199,b3986,3.9500000000000005e-32
HP1201,b3984,9.72e-75
HP1202,b3983,2.19e-54
HP1203,b3982,1.6e-48
HP1205,b3980,0.0
HP1210,b3607,2.05e-38
HP1213,b3164,1.19e-127
HP1218,b4005,1.32e-62
HP1221,b0174,6.8e-64
HP1226,b2955,7.549999999999999e-46
HP1228,b2830,5.5e-24
HP1229,b0002,8.819999999999999e-46
HP1232,b3177,5.4699999999999994e-42
HP1237,b0032,2.2500000000000002e-86
HP1241,b2697,0.0
HP1242,b1426,3.37e-15
HP1244,b4202,1.01e-16
HP1245,b4059,5.2600000000000004e-21
HP1246,b4200,5.53e-13
HP1248,b4179,4.7300000000000005e-58
HP1249,b3281,1.1700000000000001e-32
HP1251,b2178,9e-149
HP1252,b2177,1.7700000000000002e-129
HP1253,b3384,9.95e-113
HP1256,b0172,8.15e-51
HP1260,b2288,2.32e-14
HP1261,b2287,1.1800000000000001e-58
HP1263,b2286,3.8e-87
HP1266,b2283,9.59e-31
HP1267,b2282,1.96e-72
HP1268,b2281,2.42e-19
HP1269,b2280,1.82e-16
HP1270,b2279,1.09e-22
HP1271,b2278,1.6599999999999999e-112
HP1272,b2277,1.3600000000000002e-73
HP1273,b2276,3.11e-45
HP1275,b2048,1.0499999999999999e-38
HP1277,b1260,5.35e-75
HP1278,b1261,0.0
HP1279,b1262,5.9700000000000004e-130
HP1280,b1263,6.6e-70
HP1282,b1264,1.2399999999999999e-146
